preflabel,definition,notation,altlabel,related
Gherineghap,,2650,,
Tarragal,,3553,,
Wrathung,,3906,,
Walla Walla,,3708,,
Magdala South,,3031,,
Mokanger,,3139,,
Tullich,,3655,,
Sargood,,3475,,
Burgoyne,,2292,,
Wongan,,3860,,
Beerik,,2102,,
Noorinbee,,3321,,
Mahkwallok,,3035,,
Panyyabyr,,3371,,
Lazarini,,2982,,
Kalkallo,,2819,,
Nap-Nap-Marra,,3261,,
Wollert,,3855,,
Bullung,,2268,,
Koorool,,2916,,
Brit Brit,,2234,,
Bullengarook,,2265,,
Moroka,,3192,,
Wau Wauka,,3779,,
Taponga,,3545,,
Telbit West,,3574,,
Fumina,,2623,,
Bundowra,,2274,,
Kentbruck,,2861,,
Mouzie,,3202,,
Yering,,3988,,
Macarthur,,3026,,
Banangal,,2061,,
Kapong,,2835,,
Broadwater,,2237,,
Woolenook,,3879,,
Terrick Terrick West,,3579,,
Yulecart,,4001,,
Hamilton South,,2742,,
Terrick Terrick East,,3578,,
Monivae,,3151,,
Glenlogie,,2676,,
Moyhu,,3205,,
Carboor,,2342,,
Moallaack,,3131,,
Keilambete,,2857,,
Modewarre,,3134,,
Duneed,,2561,,
Terang,,3575,,
Paraparap,,3372,,
Gherang Gherang,,2649,,
Bullanbul,,2260,,
Framlingham East,,2616,,
Moorooduc,,3175,,
Ballan,,2043,,
Narmbool,,3271,,
Mordialloc,,3186,,
Carrah,,2355,,
Hexham West,,2755,,
Darriwil,,2498,,
Burtwarrah,,2308,,
Langulac,,2971,,
Goon Nure,,2702,,
Wabdallah,,3692,,
Yowang,,4000,,
Tandarook,,3539,,
Argyle,,2027,,
Wickliffe South,,3815,,
Shelford,,3484,,
Banyena,,2065,,
Lismore,,3002,,
Wanwin,,3733,,
Marnoo,,3067,,
Eversley,,2609,,
Glenpatrick,,2684,,
Kilnoorat,,2878,,
Frankston,,2619,,
Moyston West,,3208,,
Boonahwah,,2188,,
Clarkesdale,,2388,,
Barga,,2070,,
Nerrin Nerrin,,3302,,
Buninyong,,2287,,
Thurra,,3589,,
Wingan,,3835,,
Woorndoo,,3890,,
Weecurra,,3784,,
Ardonachie,,2025,,
Quag-Munjie,,3432,,
Dargo,,2489,,
Urangara,,3685,,
Tyirra,,3672,,
Kay,,2854,,
Toonyarak,,3629,,
Fumina North,,2624,,
Drumborg,,2550,,
Ettrick,,2600,,
Karabeal,,2836,,
Glenwatts,,2686,,
Kaladbro,,2817,,
Bumberrah,,2270,,
Linlithgow,,2999,,
Bow-Worrung,,2215,,
Corea,,2451,,
Moyston,,3207,,
Mannibadar,,3054,,
Purdeet East,,3424,,
Manango,,3050,,
French Island,,2621,,
Colac,,2405,,
Brimbonga,,2229,,
Wamba,,3718,,
Glencoe South,,2669,,
Kariah,,2840,,
Tonghi,,3605,,
Moutajup,,3200,,
Matlock,,3073,,
Wooyoot,,3897,,
Murrnroong,,3238,,
Karawinna,,2839,,
Tamboon,,3535,,
Meran,,3088,,
Corindhap,,2452,,
Palpara,,3365,,
Byambynee,,2314,,
Cargerie,,2345,,
Walhalla,,3702,,
Wooriwyrite,,3887,,
Lawaluk,,2980,,
Poowong East,,3412,,
Bamganie,,2060,,
Jennawarra,,2792,,
Ardno,,2024,,
Wurrin,,3911,,
Eurandelong,,2606,,
Loongelaat,,3014,,
Bete Bolong North,,2134,,
Elmore,,2588,,
Egerton,,2578,,
Wabonga,,3693,,
Cambatong,,2324,,
Detarka,,2517,,
Murrindal East,,3235,,
Ingeegoodbee,,2773,,
Toonginbooka,,3628,,
Borodomanin,,2207,,
Wyangil,,3915,,
Suggan Buggan,,3510,,
Dueran East,,2557,,
Gelantipy East,,2642,,
Marroo,,3070,,
Dunnawalla,,2565,,
Tooliorook,,3615,,
Doroq,,2540,,
Pircarra,,3400,,
Jumbuk,,2808,,
Lyndhurst,,3025,,
Wongarra,,3861,,
Poorneet,,3410,,
Bellarine,,2106,,
Bulga,,2255,,
Kaanglang,,2813,,
Curracurt,,2474,,
Annya,,2018,,
Murtcaim,,3241,,
Toorak,,3631,,
Dreeite,,2544,,
Meerai,,3078,,
Carngham,,2351,,
Kornong,,2923,,
Brimboal,,2228,,
Burrumbeet,,2305,,
Windermere,,3832,,
Haddon,,2740,,
Smythesdale,,3491,,
Yarrowee,,3971,,
Kadnook,,2815,,
